2020-12-09 22:12:981 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //select[@id='userSelect']]
2020-12-09 22:12:229 INFO  OpenAccountPage :45 - Selects Currency Drop Down
2020-12-09 22:12:435 INFO  OpenAccountPage :52 - Clicks on Process Button [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //button[contains(text(),'Process')]]
2020-12-09 22:12:572 INFO  HomePage :26 - Click on Customer Login Button [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-12-09 22:12:802 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //select[@id='userSelect']]
2020-12-09 22:12:185 INFO  AccountPage :43 - Click on Deposit [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //button[2][contains(text(),'Deposit')]]
2020-12-09 22:12:400 INFO  AccountPage :50 - Deposit Money [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //div[@class='form-group']/input]
2020-12-09 22:12:461 INFO  AccountPage :56 - Click on deposit[[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //form[@name='myForm']/button]
2020-12-09 22:12:514 INFO  AccountPage :62 - Get Message to verify [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2020-12-09 22:12:152 INFO  BasePage :29 - Launching Chrome Browser
2020-12-09 22:12:744 INFO  BankManagerLoginPage :31 - Clicks on Managers Login Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-12-09 22:12:970 INFO  AddCustomerPage :34 - Clicks on Add Customer Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='center']//button[@ng-class='btnClass1']]
2020-12-09 22:12:185 INFO  AddCustomerPage :41 - Click on Add First Name Field [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='form-group']//input[@placeholder='First Name']]
2020-12-09 22:12:305 INFO  AddCustomerPage :49 - Sends text to LastName Field [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='form-group']//input[@placeholder='Last Name']]
2020-12-09 22:12:414 INFO  AddCustomerPage :57 - Send text to PostCode Field [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='form-group']//input[@placeholder='Post Code']]
2020-12-09 22:12:513 INFO  AddCustomerPage :65 - Clicks on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[@type='submit']]
2020-12-09 22:12:569 INFO  HomePage :32 - Clicks on Home Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[contains(text(),'Home')]]
2020-12-09 22:12:686 INFO  HomePage :40 - Click on Bank Manager Login Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[contains(text(),'Bank Manager Login')]]<br>
2020-12-09 22:12:739 INFO  OpenAccountPage :30 - Clicks on Open Account Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='center']//button[@ng-class='btnClass2']]
2020-12-09 22:12:968 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //select[@id='userSelect']]
